,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
8247,Bug,Tarjuma  gayab ho  jata h.har 2 ya 3 ayat k bad. Jo detail  mai .English ya  roman urdu mai likha hota h,Text/Font Errors,Text/Font Errors - Translation Missing Issues,Medium,Negative
8248,Feature,Tarjuma bahut acha h but Pls tafseer ko bhi Hindi mai laiye,Translations & Tafseer,Translations & Tafseer - Hindi Tafseer Request,Low,Neutral
8249,Accuracy,Tarjuma Galat Kiye he kuchh hadees k Sudhar Ja Mirza Varna Pichhvada Lal Kar Dena Hai Tera,General Accuracy,General Accuracy - Hadees Translation Errors,High,Negative
8250,Feature,Tasbee counter  space  length increase. 9999  not sufficient,General Feature,General Feature - Tasbee Counter Length Increase Request,Low,Neutral
8251,Feature,"Tasbih counter should have option like 33, 100, 300, 500, 1000.",General Feature,General Feature - Tasbih Counter Options Request,Low,Neutral
8252,Feature,Team should continuously struggle to make further improvements,General Feature,General Feature - Continuous Improvement Feedback,Low,Neutral
8253,Feature,"Text of hadith should be used to search the entire similer hadith, search engine needs to get better",Search Functionality,Search Functionality - Hadees Search Improvement,Medium,Neutral
8254,Feature,"The AI feature's looks good, however, the replies shud also be in both English & Roman English as well, besides the current Urdu version, as v can't read Urdu well. Also, it wud be great if the replies can also be in audio, in both Urdu and English. These",Translations & Tafseer,Translations & Tafseer - Multi-Language Response Request,Medium,Neutral
8255,Feature,"The auto scroll option is great and the speed variation is also helpful. But there should be a speed that is less than speed 1.
Also kindly make a instruction video on "" How to search hadith""",Quran Reading Features,Quran Reading Features - Auto Scroll Speed Adjustment,Low,Positive
8256,Feature,The ayat related to word should be accessible on search,Search Functionality,Search Functionality - Quran Ayat Search Access,Low,Neutral
8257,Bug,The book mark don't work. Tillawet always starts from beginning of surah. Whenever you end your tellawat in meddle of surah ; and you restart other day it will recite tellwat again from beginning. Your can't follow your previous ayait of surah,Quran Reading Features,Quran Reading Features - Bookmark Functionality Issues,Medium,Negative
8258,Feature,"The detail analysis of arabic word's meanig need to be corrected and also add properly.
Kindly add arabic dictionaries I'll be very helpful for learning quran.",Translations & Tafseer,Translations & Tafseer - Arabic Dictionary Request,Medium,Neutral
8259,Feature,The feature of pinching of text to enlarge it for those who have weak eyesight should be possible. This is going to help user's a lot.,General Feature,General Feature - Text Enlargement for Accessibility,Low,Positive
8260,Feature,The feature to minimise or increase the size of Hadees should be restored as was added earlier,General Feature,General Feature - Hadees Size Adjustment Request,Low,Neutral
8261,UI,The feature used to go next surah by swiping up is very confusing. The version was good۔ please change the swiping up to go to next surah. Thanks,Navigation Difficulty,Navigation Difficulty - Surah Swiping Confusion,Medium,Negative
8262,Feature,The Hashiya system in Tafseer should mark numbers to underlined words in translation too which are mentioned in tafseer.,Translations & Tafseer,Translations & Tafseer - Tafseer Number Marking in Translation,Low,Neutral
8263,UI,"The issue regarding the background colour selection.
The function must can be selection your favourite colour one time, while sharing aayat. Now have to select again and again each & every time.
Thanks",Visual Design,Visual Design - Background Colour Selection Issue,Medium,Negative
8264,Feature,"The last seen feature doesn't work well , if one forgets where they left previously, this app is unable to tell me. And also make an option available for ': choosing the translation for whole by just selecting the translation we like , we have to click se",Translations & Tafseer,Translations & Tafseer - Translation Selection Feature Request,Medium,Negative
8265,UI,"The number of Ayaat are not legible of certain verses.I have version of its,there it is very clear on iPhone.
Every surah and Juz(parts) highlighted by green colour is very convenient. Jazakallah  khair,Islam 360 team.",Visual Design,Visual Design - Ayat Legibility Issues,Low,Positive
8266,UI,The only shortcoming I have found is that scrolling to particular Ayat is difficult. Like if I want to go to Ayat 260 in Surah Baqra to see it takes time to go to Ayat,Navigation Difficulty,Navigation Difficulty - Quran Ayat Scrolling Issues,Medium,Negative
8267,Ads,"THE QUR'AN IS THE MOST BEAUTIFUL ❤️ BOOK IN THE WORLD 🌍🌎,SOME SMALL ERRORS JUST LIKE ADDS,ARE IRRITATING",General Ads,General Ads - Quran Errors in Ads,Medium,Negative
8268,Ads,"The Quran is generally outstanding. I wish there were lesser adds but I get the budget requirements.
More power to you. جزاکم اللہ",Excessive Ads Frequency,Excessive Ads Frequency - Ads Frequency Concern,Medium,Positive
8269,Feature,The Quran or surah should start from the point we stopped reading last time. I forgot every time that how much I have read last time,Quran Reading Features,Quran Reading Features - Resume Reading Position,Low,Neutral
8270,UI,"The quranic aayah on the default home screen should be hidden, which could be displayed on click or could be set in the setting menu.",Visual Design,Visual Design - Quranic Ayah Display Settings,Low,Neutral
8271,Bug,The required hadis is not coming. Also small digits selection displayed for selection,Text/Font Errors,Text/Font Errors - Hadees Not Displaying Correctly,Medium,Negative
8272,Bug,"The search feature of hadees NOT at all works for me. 
If a user gets any hadees on social media, then words of hadees will be typed on prompt to search it. But all the time it says NO MATCH FOUND. 
I tried funding one of the most famous hadees طلب ا",Search Functionality,Search Functionality - Hadees Search Not Working,Medium,Negative
8273,Feature,"The search option can be improved. For example: A person searching a Hadith or ayat that they vaguely remember, the search results with the help of AI can show similar results instead of no results.",Search Functionality,Search Functionality - Hadees Search Improvement,Medium,Neutral
8274,Feature,The surah should be downloaded in mobile too. So we can share it with others or read it easily.,Quran Reading Features,Quran Reading Features - Quran Download Request,Low,Neutral
8275,Bug,The tafseer of Nouman Ali Khan is not working for surah Al Nafal . The audios are blank.,Audio Playback Issues,Audio Playback Issues - Tafseer Audio Not Working,Medium,Negative
8276,Feature,The tafseer shall include the Referenced Hadits at the start of each Surah with respect to importance of each Surah,Translations & Tafseer,Translations & Tafseer - Tafseer with Referenced Hadits,Low,Neutral
8277,Feature,"The translation & tafseer  should too be audio play when we have selected the Arabic, translation & tafseer . We only get one option in audio",Translations & Tafseer,Translations & Tafseer - Audio Feature for Translations,Low,Neutral
8278,Bug,The translation data always got currupt and it need to download every time and it's even does not download easily,Download/Offline Issues,Download/Offline Issues - Translation Data Corruption,Medium,Negative
8279,Bug,The translation features is not working properly,General Bug,General Bug - Translation Feature Malfunction,Medium,Negative
8280,UI,The translation is. Green with a black background. It's difficult to read.,Visual Design,Visual Design - Translation Readability Issues,Medium,Negative
8281,UI,"The UI needs improvement, the bookmark feature among other personal use features",General UI,General UI - Bookmark Feature Improvement,Low,Neutral
8282,Feature,The user should search the Hadith number and the app should give it,Search Functionality,Search Functionality - Hadees Search Feature Request,Low,Neutral
8283,Slow,"The verses that we read in the Quran are not speedy, so if we do them at speed, then the recitation goes back and forth, so if we increase its speed, then the recitation also becomes faster.",General Slow,General Slow - Quran Recitation Speed Issues,Medium,Negative
8284,Other,The voice behind the audios announcing Islam 360 is very annoying,General Other,General Other - Audio Voice Feedback,Low,Negative
8285,Feature,Their should be any way of marking the point uptill we have read quran on daily basis..as we do in book form of holy quran..,Quran Reading Features,Quran Reading Features - Quran Bookmarking Request,Low,Neutral
8286,Ads,There are ads related to loan apps which involves Interest,Non-Islamic / Inappropriate Ads,Non-Islamic / Inappropriate Ads - Interest-Based Loan Ads,Medium,Negative
8287,Accuracy,There are extentions of brackets that represents a specific firqa ! Please remove the brackets and make the ahadees neatral,General Accuracy,General Accuracy - Hadees Formatting Issues,High,Negative
8288,Accuracy,There are lots of grammatical and spelling mistakes in English translation. Kindly run a check. It leaves bad impression of new Muslim users.,General Accuracy,General Accuracy - English Translation Errors,High,Negative
8289,Bug,There are many hadees that are not playing correctly. Like i play hadees No 7026. Its not playing. Nd start play some other hadees,Audio Playback Issues,Audio Playback Issues - Hadees Playback Failure,Medium,Negative
8290,Bug,"There are many things we can't search.
They don't show up.",Search Functionality,Search Functionality - Search Results Not Displaying,Medium,Negative
8291,Accuracy,"There Are mistakes in 15 lines quran 
I memorize it everyday please fix it as much as you can",General Accuracy,General Accuracy - Quran Text Correction Request,High,Negative
8292,Bug,There are mistakes in urdu sentences. Also when going back to open hadith book page it exits to main menu.,Text/Font Errors,Text/Font Errors - Urdu Sentence Mistakes,Medium,Negative
8293,Other,"There are numerous islamic books  written by most brillant minds and awliya al islam across 14 centuries .. which encompass the basic attributes of islam and the concept of Allah .
The Clear concept of GOD is the most fundamental necessity of modern human",General Other,General Other - Islamic Literature Appreciation,Low,Neutral
8294,Accuracy,There are some ayats which has not any tafseerr and there should be mention that the person is shiaa or sunni for tafseerr,General Accuracy,General Accuracy - Missing Tafseer for Ayats,High,Negative
8295,Bug,"There are some typing errors 
I don't know how to inform you",Text/Font Errors,Text/Font Errors - Typing Error Reporting,Medium,Negative
8296,Ads,There are very much ads while opening the window and going back to same page... Reduce to Quantity of Ads... It's annoying,Excessive Ads Frequency,Excessive Ads Frequency - Annoying Ads Experience,Medium,Negative
8297,Feature,"There is   only one translation for hadees
Here should be more translations",Translations & Tafseer,Translations & Tafseer - Hadees Translation Request,Low,Neutral
8298,Accuracy,"There is a ruku mistake in Surah Yaseen.  the 2nd and 3rd or 3rd and 4 th rukus are not at right position so please make it right. 
Otherwise this app is very good and really helpful",General Accuracy,General Accuracy - Quran Ruku Position Issues,High,Positive
8299,Feature,There is no feauture that we can play on sahe hadith & more hadith book audio is not there,General Feature,General Feature - Missing Hadees Audio Feature,Medium,Negative
8300,Feature,"There is no Hadith search in Hindi, it should happen that in the user settings, if any language is used then all the books available in the app should be set in Hindi and searching becomes easy. At present, search can be done only in Urdu or English, whic",Translations & Tafseer,Translations & Tafseer - Hindi Hadees Search Feature Request,Medium,Neutral
8301,Feature,There is no option to continue playing next surah. If one ends next has to be manually played. Would be a good to have.,General Feature,General Feature - Audio Playback Continuity,Low,Neutral
8302,Feature,"There is no portion of collection of durood Pak
So kindly add the section of durood Pak 
Also add the other thing like fiqh , like reciting durood before Azaan , and add some more features",General Feature,General Feature - Durood Pak Section Request,Low,Neutral
8303,Feature,There is no report section like of we found any confusion or mistake where to report?,General Feature,General Feature - Missing Report Section,Low,Neutral
8304,Feature,There is no Roman English translation or Hindi translation,Translations & Tafseer,Translations & Tafseer - Missing Roman English and Hindi Translations,Low,Neutral
8305,Feature,There is no search facility in surah. When one need to go on ayat 100 he have to reach by scrolling only. He can't reach direct by 100 by typing on search bar,Search Functionality,Search Functionality - Quran Ayat Navigation Issue,Medium,Negative
8306,Feature,"there is no separate portion of arabic dictionary in this app 
like لسان العرب
and othere authentic dictionaries",General Feature,General Feature - Arabic Dictionary Request,Low,Neutral
8307,Feature,There is no way of searching exact hadees.,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
8308,Bug,"There is problem with searching.
It needs to improve",Search Functionality,Search Functionality - General Search Issues,Medium,Negative
8309,Bug,There is some glitches and system can detect the worlds when there is large ayat on single screen,General Bug,General Bug - Glitches in Displaying Ayat,Medium,Negative
8310,Feature,There must b option to read any translation as primary,Translations & Tafseer,Translations & Tafseer - Primary Translation Option Request,Low,Neutral
8311,Feature,"There must be a section in which we can search ahadees by putting words like nafli roza, ishraq and ahdees that explain certain ayat of Quran",General Feature,General Feature - Hadees Search Functionality Request,Low,Neutral
8312,Feature,There must be an option to continue listening of suras once one is finished so no need to open and run 2nd sura one one is finished,General Feature,General Feature - Continuous Audio Playback Request,Low,Neutral
8313,Feature,There must be option to read translation you like in one window,Translations & Tafseer,Translations & Tafseer - Translation Viewing Feature,Low,Neutral
8314,Feature,"there shoub be an option to mark my previous read Quran 
so i can easily read it next time where i left",Quran Reading Features,Quran Reading Features - Bookmark Previous Read Position,Low,Neutral
8315,Feature,There should also be an option to have full page quran so we dont need to scroll too much,Quran Reading Features,Quran Reading Features - Full Page Quran Request,Low,Neutral
8316,Feature,"There should be a ""go to"" feature. Iam reading translation and tafseer of surah Bakara. Everytime i have to swipe down several times to get to the ayat i want to read",Quran Reading Features,Quran Reading Features - Missing 'Go To' Feature,Low,Neutral
8317,Feature,There should be a 16 line version of Qiran as well with no meaning as well.,General Feature,General Feature - Quran 16 Line Version Request,Low,Neutral
8318,Feature,"There should be a default bookmark or reminder, that if the app is closed once, it should show where i left even if i open the app the other day. It would be soo much easier",Quran Reading Features,Quran Reading Features - Bookmark Reminder Request,Low,Neutral
8319,Feature,"There should be a feature if we search a hadees by name , but it couldn't work",Search Functionality,Search Functionality - Hadees Search Not Working,Medium,Negative
8320,Feature,There should be a feature that allows the reading of Quran without the translation taking up the screen space,Quran Reading Features,Quran Reading Features - Quran Reading Without Translation,Low,Neutral
8321,Feature,There should be a feature to search and directly reach an ayah by its number,Search Functionality,Search Functionality - Quran Ayah Search Feature Request,Low,Neutral
8322,Feature,There should be a feature where we can start listening the quran from where we left. Same like last seen where we can start reading from where left.,Quran Reading Features,Quran Reading Features - Resume Audio Playback,Low,Neutral
8323,Feature,There should be a go to button through which we can go to ayat whatever it is. Like if I am reading surah bakarah if i close the app or open it again i have to go ti surah bakarah and scroll down to 100th verse or something kindly add a feature so that i,Quran Reading Features,Quran Reading Features - Go To Ayat Navigation Request,Low,Neutral
8324,Feature,"There should be a marker for going at the end or start of a Para or Surah. For instance if I accidentally go to the next Parah when I'm at the end of one, I can't go back at the end of the previous one. Moreover the symbols/markers for Quarter, Half and 3",Quran Reading Features,Quran Reading Features - Navigation Markers Request,Low,Neutral
8325,Feature,There should be a option to search Hadith baab too.,General Feature,General Feature - Hadees Search Option Request,Low,Neutral
8326,Feature,There should be a search option from hadis number,Search Functionality,Search Functionality - Hadees Number Search Feature,Low,Neutral
8327,Feature,there should be a simplified option of reaching a certain number of ayat in a surah.,Quran Reading Features,Quran Reading Features - Simplified Ayat Navigation,Low,Neutral
8328,Feature,There should be a streak feature prompting users to read the quran daily just like duo lingo,Quran Reading Features,Quran Reading Features - Daily Streak Feature Request,Low,Neutral
8329,UI,There should be a view like simple pdf. It shows only 1 Aya per screen and too much scroll is required for reading,Navigation Difficulty,Navigation Difficulty - Quran Reading View Request,Medium,Negative
8330,Feature,"There should be a way to.jump directly to an ayat in a surah.
2. Long surah, a bar at right can help quickly scroll down.
3. Too many ads
4. Heaven word is used where 'Aasmaaan' word is used. It should be skies.
5. Men or man is used for 'insaan' while it",Quran Reading Features,Quran Reading Features - Ayat Navigation and Scrolling Issues,Low,Neutral
8331,Feature,"There should be an easy step to mark the ayaah to continue reciting it later. 
If the name of app is islam 360 then there should be everything related to islam in it like complete namaz in urdu translation",Quran Reading Features,Quran Reading Features - Bookmark Ayaah for Later Recitation,Low,Neutral
8332,Feature,There should be an option like if we search the hadith no: it appear,Search Functionality,Search Functionality - Hadees Search Feature Request,Low,Neutral
8333,Feature,"There should be an option to download complete Quran with selectable font, translation and tafseer. Downloading 1 by 1 sura or para is manual task",Quran Reading Features,Quran Reading Features - Quran Download Options,Low,Neutral
8334,Feature,"There should be an option to increase quran font size, there should be personal surah list",Quran Reading Features,Quran Reading Features - Font Size and Personal Surah List,Low,Neutral
8335,Feature,There should be an option to move to a specific رکوع as well,Quran Reading Features,Quran Reading Features - Specific Ruku Navigation Request,Low,Neutral
8336,Feature,There should be an option to search by writing reference of surah and ayat like 12:13,Search Functionality,Search Functionality - Quran Verse Reference Search,Low,Neutral
8337,Feature,There should be an option to search Hadith from a reference words or with similar words.,Search Functionality,Search Functionality - Hadees Search Feature Request,Low,Neutral
8338,Feature,"There should be feature of reading only proper translation of surah without Arabic.
Means tafseer of whole surah so it would be easy if anyone wants to read tafseer of surah what this surah is about it will be helpful",Translations & Tafseer,Translations & Tafseer - Tafseer Reading Feature Request,Low,Neutral
8339,Feature,There should be feature to rotate the screen horizontally and if you want to get to app again the 1 Ayah moves down so the screen is showing the previously read Ayah not the current Ayah you're reading,Quran Reading Features,Quran Reading Features - Screen Rotation and Ayah Tracking,Low,Neutral
8340,UI,There should be more color themes and more fonts,Visual Design,Visual Design - Color Themes and Font Options,Low,Neutral
8341,Feature,There should be more convenience in finding the surah or ayat etc and book marking should be improved,Quran Reading Features,Quran Reading Features - Bookmarking and Search Improvement,Low,Neutral
8342,Feature,"There should be more flexibility here, like when i search a hadees by its number at that time i can only view that particular hadees, I can't scroll right or left to see other hadees which are before oe after that hadees",General Feature,General Feature - Hadees Navigation Flexibility,Medium,Neutral
8343,Feature,There should be numbering of Hadith,General Feature,General Feature - Hadees Numbering Request,Low,Neutral
8344,Feature,There should be only Text portion(without translation interface). Additionally zoom in and zoom out option for individual verse of quran.,Quran Reading Features,Quran Reading Features - Text Only and Zoom Options,Low,Neutral
8345,Feature,There should be option for zoom Arabic,Quran Reading Features,Quran Reading Features - Zoom Option Request,Low,Neutral
8346,Feature,There should be option of color coded Tajweedi Quran.,Quran Reading Features,Quran Reading Features - Tajweed Color Coding Request,Low,Neutral
8347,Feature,There should be option of zoom in out on touch,Quran Reading Features,Quran Reading Features - Zoom Functionality Request,Low,Neutral
8348,Feature,There should be option to bookmark the ayat till where one has progressed the recitation. This can be a moving bookmark to keep track of the tilawat/recitation of the Quran.,Quran Reading Features,Quran Reading Features - Bookmarking Ayat Progress,Low,Neutral
8349,Feature,"There should be option to change the language and font size after we have searched and opened a hadith, now we have to preset it and then proceed",General Feature,General Feature - Language and Font Size Adjustment,Low,Neutral
8350,Feature,There should be option to jumo upto specific ayah and there should be word to word meanings.,Quran Reading Features,Quran Reading Features - Ayah Jump and Word Meanings Request,Low,Neutral
8351,Feature,"There should be options to increase the size of words. Sometimes it’s difficult to differentiate double zabar or double pesh.
Quran Arabic grammar chapter be included.",Quran Reading Features,Quran Reading Features - Word Size Adjustment Request,Low,Neutral
8352,Feature,there should be options to save more than 2 sura last seen,General Feature,General Feature - Quran Last Seen Limit,Low,Neutral
8353,Feature,There should be pinch zoom in zoom out option,Quran Reading Features,Quran Reading Features - Pinch Zoom Functionality Request,Low,Neutral
8354,Feature,There should be search option on every surah so one can go directly on the requested aayat.,Search Functionality,Search Functionality - Quran Ayat Search Feature,Low,Neutral
8355,Feature,"There should be separate options to control the volume of recitation, translation and tafseer because the default volume of recitation is a bit too loud than translation and tafseer",Audio Playback Issues,Audio Playback Issues - Volume Control for Recitation and Translation,Medium,Neutral
8356,Feature,There should be some choice for translation of like,Translations & Tafseer,Translations & Tafseer - Translation Options Request,Low,Neutral
8357,Feature,"There should be some explanation on how to read and understand these ahadees, as every hadees has some story, when you click on anything, Arabic appears and then two types of translation. This is all very confusing",Translations & Tafseer,Translations & Tafseer - Hadees Understanding Guidance,Medium,Negative
8358,Feature,"There should be sub topics when we choose a topic for example if we choose namaz there should be sub topics like duas,rafulyadein, commandments,sunnahs,etc.",Quran Reading Features,Quran Reading Features - Subtopics for Prayer Topics,Low,Neutral
8359,Feature,There should be type error report option so that i can be written correctly,General Feature,General Feature - Typo Reporting Feature Request,Low,Neutral
8360,Feature,There should bean option for Continuous Reading. Many Features are missing,Quran Reading Features,Quran Reading Features - Missing Continuous Reading Option,Low,Neutral
8361,Feature,"There us always need to improve, especially  in urdu translation",Translations & Tafseer,Translations & Tafseer - Urdu Translation Improvement,Low,Neutral
8362,Bug,"There was a para reading bookmarks that has disappeared. When you are in the sipara section, you only see surahs you cannot see which sipara you are reading. It was there a few days ago and now disappeared.",General Bug,General Bug - Missing Bookmark Feature in Sipara,Medium,Negative
8363,Feature,"There will be an option to search hadees by number
E.g. hadees number 1234",Search Functionality,Search Functionality - Hadees Number Search Feature,Low,Neutral
8364,Feature,There's no way to know the place where you left off on Quran.,Quran Reading Features,Quran Reading Features - Bookmarking Last Read Position,Medium,Negative
8365,Other,This app helps me alot. I listen many surah daily. Its very useful everything you wish to listen or read is available. Without any add i runs super. Thanks so much for this beautiful app.. jazzakallah,General Other,General Other - Positive Feedback on App Features,Low,Positive
8366,Other,This app is  very nice and very helpful to read  the Quran with translation and tafseer it's like  all in one app regarding to Islam,General Other,General Other - Positive Feedback on Quran Features,Low,Positive
8367,Bug,"This app is awesome but I have only one issue. And that is,  whenever I start a big surah which I can't listen in one go. So if I quit the program for a while and start it again. It doesn't show that where I left already. It's quite annoying. Please fix t",Audio Playback Issues,Audio Playback Issues - Resume Playback Position,Medium,Negative
8368,Feature,This app is great but also please make the Recitation such that   if i want to listen ten ayaats at a time and open the  repetition so it should repeat after ten ayaats not only after one ayaat 🥰,Quran Reading Features,Quran Reading Features - Recitation Repetition Settings,Low,Positive
8369,Feature,This app is greatly appreciated. But there should be some more features like tajweed Quran. Written tafsir of Quran in Urdu English both.,Translations & Tafseer,Translations & Tafseer - Tafsir Feature Request,Low,Positive
8370,Bug,This app is hanging while reading word by word translation,App Crash/Freeze,App Crash/Freeze - Translation Freezing Issue,Medium,Negative
8371,Ads,"This app is just an qd machine, ads ads and ads. Most of the time I don't want to open it. Your qim is to make money not to facilitate people about islamic knowledge.",Excessive Ads Frequency,Excessive Ads Frequency - User Frustration with Ads,Medium,Negative
8372,Bug,This app is part of my life god bless zahid and your team. But my objection is that search engine is not Inteligent whenever we are searching hadith or surah some difficulties are face. Thanks,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
8373,Other,"This app is perfect to feel close to Allah and our religion 
It has all the knowledge about Islam and it's practacices 
I hope other people get close to our Deen Islam by using this app 
Highly recommend ⭐⭐⭐⭐⭐",General Other,General Other - Positive Feedback on App,Low,Positive
8374,Feature,"This is a very good feature. 12 Books of Hadith are given in Islam 360 application. However, more books of Hadith like Sewti, Jamay ibn Sagheer, Saheeh ibn Habaan, Saheeh Tarheeb o Tarteeb should be added. Moreover, Musnad Ahmad has only 6000 Hadith while",General Feature,General Feature - Additional Hadees Request,Low,Positive
8375,Other,"This is a very wonderful app. There are many facilities for reading and understanding the Quran. And not only that, but many other things. Such as Hadith Masala Masael etc.
We can learn and know anything about Islam .",General Other,General Other - Positive Feedback on App Features,Low,Positive
8376,Feature,This is amazing mashallahh may Allah bless u i m not giving full stars because i want u to continue these updates btw I was just trying to copy the whole translation so I can get a hard copy of mufti taqi usmani but there was no option awarded so try to m,Translations & Tafseer,Translations & Tafseer - Translation Copying Feature Request,Medium,Positive
8377,Ads,"This is for God, you are doing job , but when we open app we are getting financial ads. So please it's our request to stop that ads because riba or intrest is haram in Islam.",Non-Islamic / Inappropriate Ads,Non-Islamic / Inappropriate Ads - Financial Ads Concerns,Medium,Negative
8378,Feature,"Tilawat ,tarjuma or tafseer ko ek sath add kr K",Translations & Tafseer,Translations & Tafseer - Combined Translation and Tafseer Request,Low,Neutral
8379,Feature,Tilawat Kisi behtreen  Qari ki awaz main lgain,Quran Reading Features,Quran Reading Features - Audio of Qari Request,Low,Neutral
8380,Bug,"Today I was reading surah yaseen,  then I took 2-3 min break for adhaan. I didn't close the app, only locked the screen, when went back to app,  it restarted and I lost the track which ayat I was reading.",App Crash/Freeze,App Crash/Freeze - Quran Reading Session Loss,High,Negative
8381,Feature,"Today just open to see hadees and feedback displayed to rate, Let me check first then rate you.",General Feature,General Feature - Hadees Rating Feedback,Low,Neutral
8382,Ads,"Too much adds , should be limited may be once within a 15 to 30 minute but it's showing almost on every click. I would prefer any other add free app over islam360. If this app for business purposes then it's ok. And if it's for Allah then adds should be l",Excessive Ads Frequency,Excessive Ads Frequency - Ads Display Frequency Issues,Medium,Negative
8383,Ads,"Too much ads...it's heartbreaking that in Quran also you are trying to earn money by putting ads..fear Allah and have taqwa that he will surely give you from means u know not. 
Please don't sell Quran like this",Ads During Religious Content,Ads During Religious Content - Quran Ads Concerns,Medium,Negative
8384,Ads,"Too much advertising. At evry step.
Reminder to activate azan every time is irritating.",Excessive Ads Frequency,Excessive Ads Frequency - Irritating Ad Reminders,Medium,Negative
8385,Feature,Translate into urdu language easiest way possible which a layman can understand,Translations & Tafseer,Translations & Tafseer - Urdu Translation Request,Low,Neutral
8386,Feature,Translation and tafseer options could have accessible more easily by adding toggles on front.,Translations & Tafseer,Translations & Tafseer - Accessibility of Translation Options,Low,Neutral
8387,Feature,Translation feature ma arrow keys se agli ya pichli ayat ka tarjuma nahi ata. Balkay wapas ja kr nect ayat ko tap kro or phir translation pr jao to tb translation aty ha. Its not smooth . If translation and tafseer has this feature the experience will be,Translations & Tafseer,Translations & Tafseer - Translation Navigation Issues,Medium,Negative
8388,Accuracy,"Translation is almost same of every person
For example if i dont know the meaning of a word  same word is repeating in other translation 
And urdu tafseer is mostly not available on many ayaats",General Accuracy,Translations & Tafseer - Urdu Tafseer Availability Issues,Medium,Negative
8389,Accuracy,"Translation is very good, but presumed words has been added, like word (تراویح) has been used even without parentheses, whereas no such word has been mentioned in actual Hadith.",General Accuracy,General Accuracy - Translation Accuracy Issues,High,Negative
8390,Accuracy,Translations of some of the translators are in totally different when looks comparatively with the other translators...please check may be its human uploading error,General Accuracy,General Accuracy - Translation Discrepancies,Medium,Negative
8391,Feature,Try to add search option for any number of ayat.if surah is long then I've to scroll too long for searching ayat.,Search Functionality,Search Functionality - Quran Ayat Search Feature Request,Medium,Neutral
8392,Feature,Try to add tafseer of all ayah for netter understanding,Translations & Tafseer,Translations & Tafseer - Tafseer for All Ayahs Request,Low,Neutral
8393,Feature,Try to explain the Quran word by word along with it's grammar.,Translations & Tafseer,Translations & Tafseer - Word by Word Quran Explanation,Low,Neutral
8394,Feature,Try toake it more easier but it's very good and helpful,General Feature,General Feature - Usability Improvement Request,Low,Positive
8395,Feature,Turjumay main number Aanay lagay hain jo confuse kartay hain. Apka recitation feature main Qari Bohat zor dey kar qirat kartay hain jo kaano par bhari lagti hai. agar koi options ho jaisay Qari Mashary waghaira jinki qirat soft ho to accha rahay ga!,Quran Reading Features,Quran Reading Features - Recitation Volume Control,Medium,Negative
8396,Feature,"U have to add poshto tarjuma also
Sometimes it happens that we often switch off the mobile while studying or studying, then it gets forgotten by us and then it starts again. 
کبھی کبھی ایسا ہو جاتا ہے کہ ہم پار پارہ پڑھت",Translations & Tafseer,Translations & Tafseer - Pashto Translation Request,Low,Neutral
8397,Feature,U should also add roman language in translation for biggners it helps to understand pronunciation more clearly,Translations & Tafseer,Translations & Tafseer - Roman Language Translation Request,Low,Neutral
8398,Feature,U should give an option to write surah name for surah searching... jazakillah o Khairan... overall the app is soo good,Search Functionality,Search Functionality - Surah Name Search Feature Request,Low,Positive
8399,Feature,"Umrah lucky draw Walay points ka month kabse start hota hai yeh bta kr... You can improve
Baaqi zabardast app hai ھذا من فضل ربی ♥️",General Feature,General Feature - Umrah Lucky Draw Points Inquiry,Low,Positive
8400,Bug,Unable to change language & all data went,General Bug,General Bug - Language Change Issue,High,Negative
8401,Feature,Unable to jump directly to ayat and continue from there.,Quran Reading Features,Quran Reading Features - Ayat Navigation Issues,Medium,Neutral
8402,Bug,Unable to open book mark which can direct to open Surrah,General Bug,General Bug - Bookmark Functionality Issue,Medium,Negative
8403,Bug,Unable to search what I'm looking for it,Search Functionality,Search Functionality - General Search Issues,Medium,Negative
8404,Feature,Understanding ke liye bhi hona chahiye,General Feature,General Feature - Understanding Content Request,Low,Neutral
8405,Feature,Update all those ahadith related to hazrat Ali rz.,General Feature,General Feature - Hadees Update Request,Low,Neutral
8406,Bug,Update k bad sa hadees ko dhoondna ma problem horhi ha,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
8407,Bug,Update k bd koi b surah open e nhi ho rhi thi or AI360 b work nhi kr rhi.,App Crash/Freeze,App Crash/Freeze - Surah Access Issues,Medium,Negative
8408,Feature,Upload Al Bidayah Wa Nihayah,General Feature,General Feature - Upload Content Request,Low,Neutral
8409,Accuracy,Urdu terjma or tafseer mien buht Galtian or missing h,General Accuracy,General Accuracy - Urdu Translation Errors,High,Negative
8410,Feature,Urdu translation m b mukamal quran hona chahea jis ko with out arabic prha jaa ske taky quran ko smjny m mazed asani ho,Translations & Tafseer,Translations & Tafseer - Complete Urdu Translation Request,Medium,Neutral
8411,Accuracy,Urdu translation me helping verbs ka istemal Kafi jagah properly NAHI he,General Accuracy,General Accuracy - Urdu Translation Issues,Medium,Negative
8412,Accuracy,Urdu translation needs lot of improvement in pronunciation. (Urdu hijjay may galatian hain),General Accuracy,General Accuracy - Urdu Translation Pronunciation Issues,Medium,Negative
